testId,FN,picFN,wordFN,faceFN,FP,picFP,wordFP,faceFP,TN,picTN,wordTN,faceTN,TP,picTP,wordTP,faceTP,video,diffCalm,diffHappy,CalmLevel,PositiveLevel,userId,age,gender,englishLevel,hand,calm minus positive
252,0,0,0,0,0.571428571,1,0,0.666666667,0.428571429,0,1,0.333333333,1,1,1,1,stress1,0,0,8,7,97,27,male,very good,right,1
253,0,0,0,0,0.333333333,0,0.333333333,0.666666667,0.666666667,1,0.666666667,0.333333333,0.918684393,0.75605318,1,1,stress2,-1,-1,7,6,97,27,male,very good,right,1
254,0,0,0,0,0.285714286,0.142857143,0.285714286,0.428571429,0.714285714,0.857142857,0.714285714,0.571428571,1,1,1,1,calm,0,2,7,8,97,27,male,very good,right,-1
176,0,0,0,0,0.333333333,0.571428571,0,0.428571429,0.666666667,0.428571429,1,0.571428571,1,1,1,1,calm,0,0,1,8,70,35,male,native language,right,-7
177,0.125,0,0,0.5,0.428571429,0.5,0,0.666666667,0.571428571,0.5,1,0.333333333,0.875,1,1,0.5,stress1,6,-4,7,4,70,35,male,native language,right,3
180,0,0,0,0,0.222222222,0,0,0.666666667,0.777777778,1,1,0.333333333,0.941621532,0.824864596,1,1,stress2,0,-1,7,3,70,35,male,native language,right,4
178,0.125,0.333333333,0,0,0.142857143,0.5,0,0,0.857142857,0.5,1,1,0.875,0.666666667,1,1,stress1,6,-5,8,3,71,28,female,native language,left,5
182,0,0,0,0,0.222222222,0.666666667,0,0,0.777777778,0.333333333,1,1,1,1,1,1,stress2,-2,1,6,4,71,28,female,native language,left,2
185,0,0,0,0,0.142857143,0.428571429,0,0,0.857142857,0.571428571,1,1,1,1,1,1,calm,-4,5,2,9,71,28,female,native language,left,-7
179,0,0,0,0,0.571428571,0.5,0,1,0.428571429,0.5,1,0,1,1,1,1,stress1,0,0,2,7,73,27,male,native language,right,-5
181,0,0,0,0,0.111111111,0,0,0.333333333,0.888888889,1,1,0.666666667,1,1,1,1,stress2,0,1,2,8,73,27,male,native language,right,-6
183,0,0,0,0,0.095238095,0,0,0.285714286,0.904761905,1,1,0.714285714,1,1,1,1,calm,0,0,2,8,73,27,male,native language,right,-6
186,0,0,0,0,0.476190476,1,0.142857143,0.285714286,0.523809524,0,0.857142857,0.714285714,1,1,1,1,calm,-1,-1,5,6,74,48,male,native language,both,-1
188,0,0,0,0,0.428571429,1,0,0.333333333,0.571428571,0,1,0.666666667,1,1,1,1,stress1,3,-3,8,3,74,48,male,native language,both,5
190,0,0,0,0,0.333333333,1,0,0,0.666666667,0,1,1,1,1,1,1,stress2,0,1,8,4,74,48,male,native language,both,4
191,0,0,0,0,0.571428571,0.5,0,1,0.428571429,0.5,1,0,0.925522532,0.80139342,1,1,stress1,-2,2,3,9,75,22,male,native language,right,-6
192,0,0,0,0,0.222222222,0,0,0.666666667,0.777777778,1,1,0.333333333,1,1,1,1,stress2,5,-6,8,3,75,22,male,native language,right,5
193,0,0,0,0,0.047619048,0,0,0.142857143,0.952380952,1,1,0.857142857,1,1,1,1,calm,0,-1,8,2,75,22,male,native language,right,6
